nr_Epoch,nr_Acc1,nr_Acc2,nr_Thresh1,nr_Thresh2,r_Epoch,r_Acc1,r_Acc2,r_Thresh1,r_Thresh2
126.0,0.0,1.0,6e-08,6e-08,126.0,1.0,0.0,7.199999999999998e-07,2e-08
127.0,0.0,1.0,6e-08,6e-08,127.0,1.0,0.0,7.199999999999998e-07,2e-08
128.0,0.0,1.0,6e-08,6e-08,128.0,1.0,0.0,7.199999999999998e-07,2e-08
129.0,0.0,1.0,6e-08,6e-08,129.0,1.0,0.0,7.199999999999998e-07,2e-08
130.0,1.0,0.0,6e-08,6e-08,130.0,1.0,0.0,7.199999999999998e-07,2e-08
131.0,1.0,0.0,6e-08,6e-08,131.0,1.0,0.0,7.199999999999998e-07,2e-08
132.0,1.0,0.0,6e-08,6e-08,132.0,1.0,0.0,7.199999999999998e-07,2e-08
133.0,1.0,0.0,6e-08,6e-08,133.0,1.0,0.0,7.199999999999998e-07,2e-08
134.0,1.0,0.0,6e-08,6e-08,134.0,1.0,0.0,7.199999999999998e-07,2e-08
135.0,1.0,0.0,6e-08,6e-08,135.0,1.0,0.0,7.199999999999998e-07,2e-08
136.0,1.0,0.0,6e-08,6e-08,136.0,1.0,0.0,7.199999999999998e-07,2e-08
137.0,1.0,0.0,6e-08,6e-08,137.0,1.0,0.0,7.199999999999998e-07,2e-08
138.0,1.0,0.0,6e-08,6e-08,138.0,1.0,0.0,7.199999999999998e-07,2e-08
139.0,1.0,0.0,6e-08,6e-08,139.0,1.0,0.0,7.199999999999998e-07,2e-08
140.0,1.0,0.0,6e-08,6e-08,140.0,1.0,0.0,7.199999999999998e-07,2e-08
141.0,1.0,0.0,6e-08,6e-08,141.0,1.0,0.0,7.199999999999998e-07,2e-08
142.0,1.0,0.0,6e-08,6e-08,142.0,1.0,0.0,7.199999999999998e-07,2e-08
143.0,1.0,0.0,6e-08,6e-08,143.0,1.0,0.0,7.199999999999998e-07,2e-08
144.0,1.0,0.0,6e-08,6e-08,144.0,1.0,0.0,7.199999999999998e-07,2e-08
145.0,1.0,0.0,6e-08,6e-08,145.0,1.0,0.0,7.199999999999998e-07,2e-08
146.0,1.0,0.0,6e-08,6e-08,146.0,1.0,0.0,7.199999999999998e-07,2e-08
147.0,1.0,0.0,6e-08,6e-08,147.0,1.0,0.0,7.199999999999998e-07,2e-08
148.0,1.0,0.0,6e-08,6e-08,148.0,1.0,0.0,7.199999999999998e-07,2e-08
149.0,1.0,0.0,6e-08,6e-08,149.0,1.0,0.0,7.199999999999998e-07,2e-08
150.0,1.0,0.0,6e-08,6e-08,150.0,1.0,0.0,7.199999999999998e-07,2e-08
151.0,1.0,0.0,6e-08,6e-08,151.0,1.0,0.0,7.199999999999998e-07,2e-08
152.0,1.0,0.0,6e-08,6e-08,152.0,1.0,0.0,7.199999999999998e-07,2e-08
153.0,1.0,0.0,6e-08,6e-08,153.0,1.0,0.0,7.199999999999998e-07,2e-08
